value
0, 932, 1635, 1232, 1396, 1450, 1631, 589
1, 1369, 1274, 1471, 1688, 1250, 982, 713
2, 1083, 1408, 1547, 1756, 1141, 868, 1206
3, 1007, 1751, 1802, 2304, 1662, 1468, 1741
4, 1199, 1714, 1165, 2432, 2018, 1332, 1672
5, 1599, 1215, 1415, 1395, 1794, 707, 1054
6, 1156, 922, 1348, 2172, 1692, 1193, 710
7, 945, 530, 624, 693, 1661, 894, 482
8, 552, 825, 489, 922, 1849, 291, 624
9, 744, 980, 829, 641, 424, 436, 586
10, 612, 915, 1134, 1137, 360, 544, 550
11, 446, 794, 878, 448, 673, 564, 519
12, 574, 557, 968, 568, 784, 607, 521
13, 667, 843, 1092, 961, 1482, 549, 969
14, 1333, 1237, 1599, 1254, 1601, 1009, 980
15, 1957, 1460, 2611, 1240, 1851, 1168, 1338
16, 1470, 2207, 2014, 2370, 2584, 1337, 1199
17, 1886, 1621, 2093, 2105, 1985, 919, 1223
18, 2588, 1457, 1491, 1746, 1930, 1062, 1437
19, 2119, 1806, 1836, 1480, 1908, 1299, 1101
20, 2377, 2377, 1423, 1663, 2091, 1824, 1770
21, 1904, 2570, 1511, 1919, 2186, 2293, 1578
22, 2182, 1587, 1667, 2106, 1321, 972, 1250
23, 2443, 1108, 1834, 1608, 1505, 1317, 1245
